Name,Position,Kill Avg,Death Avg,Assist Avg,Pentakill Avg
1. Caitlyn AD Carry 7.4 / 6.7 / 7.2 0.0025
2. Jhin AD Carry 8.0 / 5.9 / 8.6 0.0029
3. Jinx AD Carry 7.3 / 6.6 / 7.8 0.0060
4. Lux Support, Mid 5.7 / 6.3 / 11.0 0.0003
5. Yone Mid, Top 7.4 / 7.2 / 5.4 0.0031
6. Yasuo Mid 7.1 / 7.7 / 5.5 0.0027
7. Ezreal AD Carry 6.9 / 6.0 / 7.6 0.0022
8. Vayne AD Carry 8.2 / 6.6 / 5.8 0.0106
9. Viktor Mid 6.5 / 5.9 / 7.2 0.0019
10. Lee Sin Jungler 7.5 / 6.2 / 8.9 0.0006
11. Graves Jungler 7.3 / 6.0 / 6.9 0.0021
12. Thresh Support 2.0 / 6.8 / 14.6 0.0000
13. Zed Mid, Jungler 9.3 / 6.7 / 5.9 0.0011
14. Lucian AD Carry 8.4 / 6.9 / 6.7 0.0024
15. Lulu Support 1.7 / 5.5 / 15.2 0.0000
16. Jayce Top 6.8 / 7.3 / 6.2 0.0016
17. Viego Jungler 8.1 / 6.4 / 6.9 0.0042
18. Irelia Top, Mid 7.6 / 7.6 / 4.8 0.0042
19. Akali Mid, Top 8.5 / 6.3 / 5.2 0.0015
20. Ekko Jungler, Mid 8.2 / 6.2 / 7.0 0.0018
21. Nami Support 2.4 / 6.1 / 16.6 0.0000
22. Blitzcrank Support 2.6 / 6.6 / 13.2 0.0000
23. Xerath Support, Mid 5.7 / 6.2 / 10.4 0.0003
24. Talon Jungler 9.2 / 6.9 / 7.0 0.0015
25. Vi Jungler 7.3 / 6.5 / 8.3 0.0008
26. Pyke Support 7.7 / 7.9 / 8.8 0.0030
27. Yuumi Support 2.0 / 4.6 / 16.5 0.0000
28. Kayn Jungler 8.3 / 6.9 / 7.7 0.0016
29. Sylas Mid, Top 7.7 / 7.2 / 6.9 0.0020
30. Jax Top 6.7 / 6.7 / 4.5 0.0021
31. Kai'Sa AD Carry 8.7 / 6.6 / 6.5 0.0053
32. Camille Top 6.9 / 6.4 / 6.2 0.0012
33. Shaco Jungler 8.3 / 6.4 / 8.6 0.0009
34. Morgana Support 3.4 / 6.8 / 13.4 0.0000
35. Vex Mid, Support 7.3 / 6.9 / 8.3 0.0015
36. Sett Top 6.0 / 6.7 / 6.2 0.0011
37. Miss Fortune AD Carry 7.7 / 6.9 / 8.1 0.0038
38. Master Yi Jungler 9.7 / 7.4 / 5.0 0.0172
39. Leona Support 2.0 / 6.8 / 13.5 0.0000
40. Soraka Support 1.1 / 5.8 / 15.4 0.0000
41. Ashe AD Carry 6.1 / 6.7 / 9.8 0.0016
42. Kha'Zix Jungler 9.5 / 6.4 / 6.4 0.0033
43. Twitch AD Carry 9.9 / 7.5 / 7.4 0.0051
44. Senna Support 4.8 / 7.1 / 12.5 0.0004
45. Katarina Mid 10.0 / 7.4 / 6.1 0.0108
46. LeBlanc Mid 7.8 / 5.5 / 6.9 0.0009
47. Karma Support 2.8 / 6.2 / 13.5 0.0000
48. Warwick Jungler 8.2 / 6.9 / 7.8 0.0009
49. Samira AD Carry 9.2 / 7.5 / 6.6 0.0168
50. Gwen Top 6.2 / 6.8 / 4.9 0.0023
51. Vladimir Mid, Top 7.4 / 5.9 / 6.0 0.0038
52. Draven AD Carry 8.6 / 7.2 / 6.1 0.0063
53. Teemo Top 6.3 / 7.3 / 6.1 0.0008
54. Kassadin Mid 8.5 / 5.7 / 5.9 0.0076
55. Nautilus Support 2.5 / 6.9 / 13.4 0.0000
56. Darius Top 7.1 / 6.5 / 4.8 0.0059
57. Qiyana Mid, Jungler 9.1 / 7.2 / 6.5 0.0014
58. Gangplank Top 6.3 / 6.8 / 6.9 0.0016
